"id","year","month","casenumber","disease","item","datestart","dateend","districtcode","unit","value","annotation","sourceId"
"182","2018","6","TKH-2018-000080","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-02",NULL,"614","number","8",,"47"
"183","2018","7","TKH-2018-000080","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-02",NULL,"614","number","8",,"60"
"184","2016","9","TKH-2016-000136","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2016-04-28",NULL,"616","number","3",,"1"
"185","2016","10","TKH-2016-000136","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2016-04-28",NULL,"616","number","3",,"29"
"186","2016","11","TKH-2016-000136","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2016-04-28",NULL,"616","number","3",,"16"
"187","2016","12","TKH-2016-000136","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2016-04-28",NULL,"616","number","3",,"17"
"188","2017","1","TKH-2016-000136","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2016-04-28",NULL,"616","number","3",,"18"
"189","2017","2","TKH-2016-000136","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2016-04-28",NULL,"616","number","0",,"19"
"190","2015","5","TKH-2015-000625","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2015-04-08","2015-05-13","325","number","1",,"46"
"191","2017","7","TKH-2017-000365","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2017-05-08","2017-08-07","408","number","2",,"6"
"192","2017","8","TKH-2017-000365","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2017-05-08","2017-08-07","408","number","2",,"7"
"193","2017","7","TKH-2017-000378","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2017-05-10","2017-08-07","408","number","3",,"6"
"194","2017","8","TKH-2017-000378","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2017-05-10","2017-08-07","408","number","3",,"7"
"195","2019","9","TKH-2019-000232","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2019-07-01",NULL,"706","number","0",,"2"
"196","2019","10","TKH-2019-000232","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2019-07-01",NULL,"706","number","0",,"34"
"197","2019","11","TKH-2019-000232","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2019-07-01",NULL,"706","number","0",,"35"
